k,TP_maintained_risky,FP_unnecessary_maintenance,TN_correct_no_maintenance,FN_missed_risky_cases,false_negative_rate,false_positive_rate,total_cost,average_cost_per_sample,dataset,cost_fn,cost_fp,split_used_for_k_selection
0.0,495,113,9289,597,0.5467032967032966,0.012018719421399702,1307.0,0.124547360396417,FD002,2,1.0,calibration
0.05,511,125,9277,581,0.532051282051282,0.013295043607743034,1287.0,0.12264150943396226,FD002,2,1.0,calibration
0.1,530,141,9261,562,0.5146520146520146,0.014996809189534142,1265.0,0.12054507337526206,FD002,2,1.0,calibration
0.15,556,160,9242,536,0.4908424908424908,0.017017655817911082,1232.0,0.11740041928721175,FD002,2,1.0,calibration
0.2,571,170,9232,521,0.47710622710622713,0.018081259306530525,1212.0,0.115494568324757,FD002,2,1.0,calibration
0.25,599,183,9219,493,0.45146520146520147,0.0194639438417358,1169.0,0.11139698875547932,FD002,2,1.0,calibration
0.3,620,203,9199,472,0.43223443223443225,0.021591150818974687,1147.0,0.10930055269677912,FD002,2,1.0,calibration
0.35,643,228,9174,449,0.41117216117216115,0.024250159540523293,1126.0,0.10729940918620164,FD002,2,1.0,calibration
0.4,663,257,9145,429,0.39285714285714285,0.027334609657519677,1115.0,0.10625119115685154,FD002,2,1.0,calibration
0.45,686,278,9124,406,0.3717948717948718,0.029568176983620506,1090.0,0.10386887745378312,FD002,2,1.0,calibration
0.5,708,308,9094,384,0.3516483516483517,0.03275898744947883,1076.0,0.1025347817800648,FD002,2,1.0,calibration
0.55,730,341,9061,362,0.3315018315018315,0.036268878961923,1065.0,0.1014865637507147,FD002,2,1.0,calibration
0.6,752,372,9030,340,0.31135531135531136,0.03956604977664327,1052.0,0.10024776062511911,FD002,2,1.0,calibration
0.65,773,413,8989,319,0.29212454212454214,0.04392682407998298,1051.0,0.10015246807699638,FD002,2,1.0,calibration
0.7,800,453,8949,292,0.2673992673992674,0.048181238034460755,1037.0,0.09881837240327807,FD002,2,1.0,calibration
0.75,827,493,8909,265,0.24267399267399267,0.05243565198893852,1023.0,0.09748427672955975,FD002,2,1.0,calibration
0.8,840,547,8855,252,0.23076923076923078,0.05817911082748351,1051.0,0.10015246807699638,FD002,2,1.0,calibration
0.85,860,589,8813,232,0.21245421245421245,0.06264624547968517,1053.0,0.10034305317324185,FD002,2,1.0,calibration
0.9,891,643,8759,201,0.18406593406593408,0.06838970431823016,1045.0,0.09958071278825996,FD002,2,1.0,calibration
0.95,914,710,8692,178,0.163003663003663,0.07551584769198043,1066.0,0.10158185629883743,FD002,2,1.0,calibration
1.0,932,769,8633,160,0.14652014652014653,0.08179110827483514,1089.0,0.10377358490566038,FD002,2,1.0,calibration
1.05,946,839,8563,146,0.1336996336996337,0.08923633269517124,1131.0,0.10777587192681533,FD002,2,1.0,calibration
1.1,960,927,8475,132,0.12087912087912088,0.09859604339502234,1191.0,0.11349342481417952,FD002,2,1.0,calibration
1.15,971,1011,8391,121,0.1108058608058608,0.10753031269942566,1253.0,0.11940156279778921,FD002,2,1.0,calibration
1.2,978,1079,8323,114,0.1043956043956044,0.11476281642203787,1307.0,0.124547360396417,FD002,2,1.0,calibration
1.25,996,1174,8228,96,0.08791208791208792,0.12486704956392257,1366.0,0.13016962073565846,FD002,2,1.0,calibration
1.3,1002,1261,8141,90,0.08241758241758242,0.13412039991491173,1441.0,0.13731656184486374,FD002,2,1.0,calibration
1.35,1007,1353,8049,85,0.07783882783882784,0.1439055520102106,1523.0,0.14513055079092815,FD002,2,1.0,calibration
1.4,1020,1454,7948,72,0.06593406593406594,0.15464794724526695,1598.0,0.1522774919001334,FD002,2,1.0,calibration
1.45,1029,1565,7837,63,0.057692307692307696,0.16645394596894278,1691.0,0.16113969887554794,FD002,2,1.0,calibration
1.5,1034,1686,7716,58,0.05311355311355311,0.17932354818123802,1802.0,0.1717171717171717,FD002,2,1.0,calibration
1.55,1042,1811,7591,50,0.045787545787545784,0.19261859178898108,1911.0,0.18210405946255004,FD002,2,1.0,calibration
1.6,1045,1927,7475,47,0.04304029304029304,0.2049563922569666,2021.0,0.19258623975605108,FD002,2,1.0,calibration
1.65,1050,2054,7348,42,0.038461538461538464,0.21846415656243354,2138.0,0.20373546788641128,FD002,2,1.0,calibration
1.7,1053,2200,7202,39,0.03571428571428571,0.2339927674962774,2278.0,0.21707642462359444,FD002,2,1.0,calibration
1.75,1058,2319,7083,34,0.031135531135531136,0.24664964901084876,2387.0,0.22746331236897274,FD002,2,1.0,calibration
