Model,MAE,Safety_MAE,Dangerous_Count_RUL_LT_20,Avg_Overestimate_RUL_LT_20
Gradient Boosting,15.151342058882667,22.608726580102843,281,4.890702460605359
Random Forest,15.233041769041769,22.708700245700246,315,4.876888888888888
Decision Tree,17.418022962804677,26.254659338271694,302,7.792942703198005
Linear Regression,18.824860250167937,28.258486018315455,239,15.10807046315708
