k,TP_maintained_risky,FP_unnecessary_maintenance,TN_correct_no_maintenance,FN_missed_risky_cases,false_negative_rate,false_positive_rate,total_cost,average_cost_per_sample,dataset,cost_fp,cost_fn,maintenance_threshold
0.0,338,28,4260,82,0.19523809523809524,0.0065298507462686565,192.0,0.04078164825828377,FD003,1.0,2,20
0.05,343,32,4256,77,0.18333333333333332,0.007462686567164179,186.0,0.0395072217502124,FD003,1.0,2,20
0.1,344,36,4252,76,0.18095238095238095,0.008395522388059701,188.0,0.03993203058623619,FD003,1.0,2,20
0.15,347,38,4250,73,0.1738095238095238,0.008861940298507462,184.0,0.03908241291418862,FD003,1.0,2,20
0.2,352,42,4246,68,0.1619047619047619,0.009794776119402986,178.0,0.037807986406117246,FD003,1.0,2,20
0.25,357,44,4244,63,0.15,0.010261194029850746,170.0,0.03610875106202209,FD003,1.0,2,20
0.3,361,47,4241,59,0.14047619047619048,0.010960820895522388,165.0,0.035046728971962614,FD003,1.0,2,20
0.35,366,51,4237,54,0.12857142857142856,0.01189365671641791,159.0,0.03377230246389125,FD003,1.0,2,20
0.4,369,57,4231,51,0.12142857142857143,0.013292910447761194,159.0,0.03377230246389125,FD003,1.0,2,20
0.45,372,63,4225,48,0.11428571428571428,0.014692164179104478,159.0,0.03377230246389125,FD003,1.0,2,20
0.5,374,71,4217,46,0.10952380952380952,0.01655783582089552,163.0,0.03462192013593883,FD003,1.0,2,20
0.55,376,79,4209,44,0.10476190476190476,0.01842350746268657,167.0,0.035471537807986404,FD003,1.0,2,20
0.6,381,85,4203,39,0.09285714285714286,0.019822761194029852,163.0,0.03462192013593883,FD003,1.0,2,20
0.65,383,93,4195,37,0.0880952380952381,0.021688432835820896,167.0,0.035471537807986404,FD003,1.0,2,20
0.7,386,99,4189,34,0.08095238095238096,0.02308768656716418,167.0,0.035471537807986404,FD003,1.0,2,20
0.75,391,104,4184,29,0.06904761904761905,0.024253731343283583,162.0,0.034409515717926935,FD003,1.0,2,20
0.8,393,111,4177,27,0.06428571428571428,0.025886194029850745,165.0,0.035046728971962614,FD003,1.0,2,20
0.85,393,118,4170,27,0.06428571428571428,0.02751865671641791,172.0,0.03653355989804588,FD003,1.0,2,20
0.9,393,131,4157,27,0.06428571428571428,0.03055037313432836,185.0,0.03929481733220051,FD003,1.0,2,20
0.95,394,141,4147,26,0.06190476190476191,0.032882462686567165,193.0,0.04099405267629567,FD003,1.0,2,20
1.0,396,156,4132,24,0.05714285714285714,0.036380597014925374,204.0,0.04333050127442651,FD003,1.0,2,20
1.05,399,168,4120,21,0.05,0.03917910447761194,210.0,0.044604927782497875,FD003,1.0,2,20
1.1,401,182,4106,19,0.04523809523809524,0.042444029850746266,220.0,0.04672897196261682,FD003,1.0,2,20
1.15,403,194,4094,17,0.04047619047619048,0.045242537313432835,228.0,0.048428207306711976,FD003,1.0,2,20
1.2,404,209,4079,16,0.0380952380952381,0.04874067164179104,241.0,0.05118946474086661,FD003,1.0,2,20
1.25,404,226,4062,16,0.0380952380952381,0.052705223880597014,258.0,0.05480033984706882,FD003,1.0,2,20
1.3,406,251,4037,14,0.03333333333333333,0.05853544776119403,279.0,0.05926083262531861,FD003,1.0,2,20
1.35,406,274,4014,14,0.03333333333333333,0.06389925373134328,302.0,0.06414613423959219,FD003,1.0,2,20
1.4,407,295,3993,13,0.030952380952380953,0.06879664179104478,321.0,0.06818181818181818,FD003,1.0,2,20
1.45,409,321,3967,11,0.02619047619047619,0.07486007462686567,343.0,0.07285471537807986,FD003,1.0,2,20
1.5,412,338,3950,8,0.01904761904761905,0.07882462686567164,354.0,0.0751911639762107,FD003,1.0,2,20
1.55,415,359,3929,5,0.011904761904761904,0.08372201492537314,369.0,0.07837723024638912,FD003,1.0,2,20
1.6,416,376,3912,4,0.009523809523809525,0.08768656716417911,384.0,0.08156329651656755,FD003,1.0,2,20
1.65,417,402,3886,3,0.007142857142857143,0.09375,408.0,0.08666100254885302,FD003,1.0,2,20
1.7,417,428,3860,3,0.007142857142857143,0.09981343283582089,434.0,0.09218351741716228,FD003,1.0,2,20
1.75,417,468,3820,3,0.007142857142857143,0.10914179104477612,474.0,0.10067969413763807,FD003,1.0,2,20
1.8,417,511,3777,3,0.007142857142857143,0.11916977611940298,517.0,0.10981308411214953,FD003,1.0,2,20
1.85,417,550,3738,3,0.007142857142857143,0.12826492537313433,556.0,0.11809685641461343,FD003,1.0,2,20
