k,TP_maintained_risky,FP_unnecessary_maintenance,TN_correct_no_maintenance,FN_missed_risky_cases,false_negative_rate,false_positive_rate,total_cost,average_cost_per_sample,dataset,method,cost_fn,cost_fp,split_used_for_k_selection
0.0,368,82,3734,52,0.12380952380952381,0.02148846960167715,186.0,0.043909348441926344,FD001,bootstrap_gbr,2,1.0,calibration
0.05,369,84,3732,51,0.12142857142857143,0.0220125786163522,186.0,0.043909348441926344,FD001,bootstrap_gbr,2,1.0,calibration
0.1,369,85,3731,51,0.12142857142857143,0.022274633123689727,187.0,0.044145420207743154,FD001,bootstrap_gbr,2,1.0,calibration
0.15,370,86,3730,50,0.11904761904761904,0.022536687631027254,186.0,0.043909348441926344,FD001,bootstrap_gbr,2,1.0,calibration
0.2,370,86,3730,50,0.11904761904761904,0.022536687631027254,186.0,0.043909348441926344,FD001,bootstrap_gbr,2,1.0,calibration
0.25,373,86,3730,47,0.11190476190476191,0.022536687631027254,180.0,0.042492917847025496,FD001,bootstrap_gbr,2,1.0,calibration
0.3,375,87,3729,45,0.10714285714285714,0.02279874213836478,177.0,0.04178470254957507,FD001,bootstrap_gbr,2,1.0,calibration
0.35,377,89,3727,43,0.10238095238095238,0.023322851153039833,175.0,0.04131255901794145,FD001,bootstrap_gbr,2,1.0,calibration
0.4,378,90,3726,42,0.1,0.02358490566037736,174.0,0.04107648725212465,FD001,bootstrap_gbr,2,1.0,calibration
0.45,378,91,3725,42,0.1,0.023846960167714884,175.0,0.04131255901794145,FD001,bootstrap_gbr,2,1.0,calibration
0.5,378,93,3723,42,0.1,0.02437106918238994,177.0,0.04178470254957507,FD001,bootstrap_gbr,2,1.0,calibration
0.55,378,96,3720,42,0.1,0.025157232704402517,180.0,0.042492917847025496,FD001,bootstrap_gbr,2,1.0,calibration
0.6,379,98,3718,41,0.09761904761904762,0.025681341719077568,180.0,0.042492917847025496,FD001,bootstrap_gbr,2,1.0,calibration
0.65,381,101,3715,39,0.09285714285714286,0.026467505241090147,179.0,0.042256846081208686,FD001,bootstrap_gbr,2,1.0,calibration
0.7,382,101,3715,38,0.09047619047619047,0.026467505241090147,177.0,0.04178470254957507,FD001,bootstrap_gbr,2,1.0,calibration
0.75,383,108,3708,37,0.0880952380952381,0.02830188679245283,182.0,0.04296506137865911,FD001,bootstrap_gbr,2,1.0,calibration
0.8,384,110,3706,36,0.08571428571428572,0.028825995807127882,182.0,0.04296506137865911,FD001,bootstrap_gbr,2,1.0,calibration
0.85,384,114,3702,36,0.08571428571428572,0.029874213836477988,186.0,0.043909348441926344,FD001,bootstrap_gbr,2,1.0,calibration
0.9,385,118,3698,35,0.08333333333333333,0.030922431865828093,188.0,0.044381491973559964,FD001,bootstrap_gbr,2,1.0,calibration
0.95,386,121,3695,34,0.08095238095238096,0.03170859538784067,189.0,0.04461756373937677,FD001,bootstrap_gbr,2,1.0,calibration
1.0,387,122,3694,33,0.07857142857142857,0.0319706498951782,188.0,0.044381491973559964,FD001,bootstrap_gbr,2,1.0,calibration
1.05,388,123,3693,32,0.0761904761904762,0.03223270440251572,187.0,0.044145420207743154,FD001,bootstrap_gbr,2,1.0,calibration
1.1,392,125,3691,28,0.06666666666666667,0.03275681341719078,181.0,0.04272898961284231,FD001,bootstrap_gbr,2,1.0,calibration
1.15,395,125,3691,25,0.05952380952380952,0.03275681341719078,175.0,0.04131255901794145,FD001,bootstrap_gbr,2,1.0,calibration
1.2,396,129,3687,24,0.05714285714285714,0.03380503144654088,177.0,0.04178470254957507,FD001,bootstrap_gbr,2,1.0,calibration
1.25,396,131,3685,24,0.05714285714285714,0.034329140461215935,179.0,0.042256846081208686,FD001,bootstrap_gbr,2,1.0,calibration
1.3,397,134,3682,23,0.05476190476190476,0.03511530398322851,180.0,0.042492917847025496,FD001,bootstrap_gbr,2,1.0,calibration
1.35,399,135,3681,21,0.05,0.03537735849056604,177.0,0.04178470254957507,FD001,bootstrap_gbr,2,1.0,calibration
1.4,401,140,3676,19,0.04523809523809524,0.03668763102725367,178.0,0.042020774315391876,FD001,bootstrap_gbr,2,1.0,calibration
1.45,401,141,3675,19,0.04523809523809524,0.036949685534591194,179.0,0.042256846081208686,FD001,bootstrap_gbr,2,1.0,calibration
1.5,403,144,3672,17,0.04047619047619048,0.03773584905660377,178.0,0.042020774315391876,FD001,bootstrap_gbr,2,1.0,calibration
1.55,403,147,3669,17,0.04047619047619048,0.03852201257861635,181.0,0.04272898961284231,FD001,bootstrap_gbr,2,1.0,calibration
1.6,403,151,3665,17,0.04047619047619048,0.03957023060796646,185.0,0.04367327667610954,FD001,bootstrap_gbr,2,1.0,calibration
1.65,404,151,3665,16,0.0380952380952381,0.03957023060796646,183.0,0.04320113314447592,FD001,bootstrap_gbr,2,1.0,calibration
1.7,404,152,3664,16,0.0380952380952381,0.039832285115303984,184.0,0.04343720491029273,FD001,bootstrap_gbr,2,1.0,calibration
1.75,405,154,3662,15,0.03571428571428571,0.04035639412997904,184.0,0.04343720491029273,FD001,bootstrap_gbr,2,1.0,calibration
1.8,406,159,3657,14,0.03333333333333333,0.041666666666666664,187.0,0.044145420207743154,FD001,bootstrap_gbr,2,1.0,calibration
1.85,406,164,3652,14,0.03333333333333333,0.0429769392033543,192.0,0.0453257790368272,FD001,bootstrap_gbr,2,1.0,calibration
1.9,407,166,3650,13,0.030952380952380953,0.04350104821802935,192.0,0.0453257790368272,FD001,bootstrap_gbr,2,1.0,calibration
1.95,407,169,3647,13,0.030952380952380953,0.04428721174004193,195.0,0.04603399433427762,FD001,bootstrap_gbr,2,1.0,calibration
2.0,407,172,3644,13,0.030952380952380953,0.04507337526205451,198.0,0.046742209631728045,FD001,bootstrap_gbr,2,1.0,calibration
2.05,408,173,3643,12,0.02857142857142857,0.04533542976939203,197.0,0.046506137865911235,FD001,bootstrap_gbr,2,1.0,calibration
2.1,408,175,3641,12,0.02857142857142857,0.04585953878406709,199.0,0.046978281397544855,FD001,bootstrap_gbr,2,1.0,calibration
2.15,408,178,3638,12,0.02857142857142857,0.046645702306079666,202.0,0.04768649669499528,FD001,bootstrap_gbr,2,1.0,calibration
