uncertainty_bin,count,mean_uncertainty,mean_abs_error,median_abs_error,dangerous_rate,mean_overestimate
"(1.9280000000000002, 16.8]",1716,11.29874842818794,9.163280885780885,6.429999999999993,0.398018648018648,9.554099560761347
"(16.8, 23.918]",1716,20.59180694523833,17.874137529137528,13.299999999999999,0.40559440559440557,23.570100574712644
"(23.918, 28.895]",1716,26.468386754584966,22.203886946386948,18.905,0.432983682983683,27.073485868102285
"(28.895, 33.462]",1715,31.182069607603523,26.156932944606414,23.939999999999998,0.4530612244897959,29.173912483912485
"(33.462, 38.633]",1716,35.973334374554554,30.843257575757576,29.754999999999995,0.4982517482517482,32.04070175438597
"(38.633, 55.305]",1716,42.9570216770553,36.215250582750585,36.1,0.5687645687645687,36.299446721311476
