k,TP_maintained_risky,FP_unnecessary_maintenance,TN_correct_no_maintenance,FN_missed_risky_cases,false_negative_rate,false_positive_rate,total_cost,average_cost_per_sample,dataset,method,cost_fn,cost_fp,split_used_for_k_selection
0.0,288,134,10764,762,0.7257142857142858,0.012295834097999633,1658.0,0.13876799464345496,FD004,quantile_gbr,2,1.0,calibration
0.05,292,141,10757,758,0.7219047619047619,0.01293815378968618,1657.0,0.13868429862738535,FD004,quantile_gbr,2,1.0,calibration
0.1,294,146,10752,756,0.72,0.013396953569462286,1658.0,0.13876799464345496,FD004,quantile_gbr,2,1.0,calibration
0.15,297,148,10750,753,0.7171428571428572,0.013580473481372729,1654.0,0.13843321057917643,FD004,quantile_gbr,2,1.0,calibration
0.2,303,155,10743,747,0.7114285714285714,0.014222793173059276,1649.0,0.13801473049882826,FD004,quantile_gbr,2,1.0,calibration
0.25,305,157,10741,745,0.7095238095238096,0.01440631308496972,1647.0,0.13784733846668898,FD004,quantile_gbr,2,1.0,calibration
0.3,309,162,10736,741,0.7057142857142857,0.014865112864745825,1644.0,0.1375962504184801,FD004,quantile_gbr,2,1.0,calibration
0.35,314,164,10734,736,0.700952380952381,0.015048632776656266,1636.0,0.136926682289923,FD004,quantile_gbr,2,1.0,calibration
0.4,320,164,10734,730,0.6952380952380952,0.015048632776656266,1624.0,0.13592233009708737,FD004,quantile_gbr,2,1.0,calibration
0.45,331,169,10729,719,0.6847619047619048,0.015507432556432372,1607.0,0.13449949782390358,FD004,quantile_gbr,2,1.0,calibration
0.5,347,174,10724,703,0.6695238095238095,0.015966232336208478,1580.0,0.13223970539002344,FD004,quantile_gbr,2,1.0,calibration
0.55,362,180,10718,688,0.6552380952380953,0.016516792071939807,1556.0,0.1302310010043522,FD004,quantile_gbr,2,1.0,calibration
0.6,388,191,10707,662,0.6304761904761905,0.017526151587447237,1515.0,0.12679946434549716,FD004,quantile_gbr,2,1.0,calibration
0.65,436,203,10695,614,0.5847619047619048,0.01862727105890989,1431.0,0.1197689989956478,FD004,quantile_gbr,2,1.0,calibration
0.7,459,219,10679,591,0.5628571428571428,0.02009543035419343,1401.0,0.11725811851355876,FD004,quantile_gbr,2,1.0,calibration
0.75,492,236,10662,558,0.5314285714285715,0.021655349605432188,1352.0,0.11315701372614663,FD004,quantile_gbr,2,1.0,calibration
0.8,519,248,10650,531,0.5057142857142857,0.022756469076894843,1310.0,0.10964178105122196,FD004,quantile_gbr,2,1.0,calibration
0.85,555,277,10621,495,0.4714285714285714,0.025417507799596256,1267.0,0.10604285236022765,FD004,quantile_gbr,2,1.0,calibration
0.9,657,330,10568,393,0.3742857142857143,0.030280785465222976,1116.0,0.09340475393371275,FD004,quantile_gbr,2,1.0,calibration
0.95,716,417,10481,334,0.3180952380952381,0.03826390163332721,1085.0,0.09081017743555407,FD004,quantile_gbr,2,1.0,calibration
1.0,773,505,10393,277,0.2638095238095238,0.04633877775738668,1059.0,0.08863408101774356,FD004,quantile_gbr,2,1.0,calibration
1.05,813,656,10242,237,0.2257142857142857,0.060194531106625065,1130.0,0.09457649815868764,FD004,quantile_gbr,2,1.0,calibration
1.1,860,832,10066,190,0.18095238095238095,0.07634428335474398,1212.0,0.10143957147639772,FD004,quantile_gbr,2,1.0,calibration
