k,TP_maintained_risky,FP_unnecessary_maintenance,TN_correct_no_maintenance,FN_missed_risky_cases,false_negative_rate,false_positive_rate,total_cost,average_cost_per_sample,dataset,cost_fp,cost_fn,maintenance_threshold
0.0,343,20,3630,77,0.18333333333333332,0.005479452054794521,174.0,0.04275184275184275,FD001,1.0,2,20
0.05,346,22,3628,74,0.1761904761904762,0.006027397260273973,170.0,0.04176904176904177,FD001,1.0,2,20
0.1,348,24,3626,72,0.17142857142857143,0.006575342465753425,168.0,0.041277641277641275,FD001,1.0,2,20
0.15,354,28,3622,66,0.15714285714285714,0.007671232876712329,160.0,0.03931203931203931,FD001,1.0,2,20
0.2,359,29,3621,61,0.14523809523809525,0.007945205479452055,151.0,0.0371007371007371,FD001,1.0,2,20
0.25,363,31,3619,57,0.1357142857142857,0.008493150684931507,145.0,0.03562653562653563,FD001,1.0,2,20
0.3,365,33,3617,55,0.13095238095238096,0.00904109589041096,143.0,0.03513513513513514,FD001,1.0,2,20
0.35,367,36,3614,53,0.1261904761904762,0.009863013698630137,142.0,0.03488943488943489,FD001,1.0,2,20
0.4,374,41,3609,46,0.10952380952380952,0.011232876712328766,133.0,0.03267813267813268,FD001,1.0,2,20
0.45,376,42,3608,44,0.10476190476190476,0.011506849315068493,130.0,0.03194103194103194,FD001,1.0,2,20
0.5,376,44,3606,44,0.10476190476190476,0.012054794520547946,132.0,0.032432432432432434,FD001,1.0,2,20
0.55,379,50,3600,41,0.09761904761904762,0.0136986301369863,132.0,0.032432432432432434,FD001,1.0,2,20
0.6,382,55,3595,38,0.09047619047619047,0.015068493150684932,131.0,0.03218673218673219,FD001,1.0,2,20
0.65,382,64,3586,38,0.09047619047619047,0.017534246575342465,140.0,0.0343980343980344,FD001,1.0,2,20
0.7,386,77,3573,34,0.08095238095238096,0.021095890410958905,145.0,0.03562653562653563,FD001,1.0,2,20
0.75,390,87,3563,30,0.07142857142857142,0.023835616438356164,147.0,0.036117936117936116,FD001,1.0,2,20
0.8,394,93,3557,26,0.06190476190476191,0.02547945205479452,145.0,0.03562653562653563,FD001,1.0,2,20
0.85,396,106,3544,24,0.05714285714285714,0.02904109589041096,154.0,0.03783783783783784,FD001,1.0,2,20
0.9,399,120,3530,21,0.05,0.03287671232876712,162.0,0.039803439803439804,FD001,1.0,2,20
0.95,401,131,3519,19,0.04523809523809524,0.035890410958904106,169.0,0.04152334152334152,FD001,1.0,2,20
1.0,404,152,3498,16,0.0380952380952381,0.041643835616438356,184.0,0.04520884520884521,FD001,1.0,2,20
1.05,404,171,3479,16,0.0380952380952381,0.04684931506849315,203.0,0.049877149877149876,FD001,1.0,2,20
1.1,409,195,3455,11,0.02619047619047619,0.05342465753424658,217.0,0.05331695331695332,FD001,1.0,2,20
1.15,412,213,3437,8,0.01904761904761905,0.05835616438356164,229.0,0.05626535626535627,FD001,1.0,2,20
1.2,414,234,3416,6,0.014285714285714285,0.06410958904109589,246.0,0.06044226044226044,FD001,1.0,2,20
1.25,416,252,3398,4,0.009523809523809525,0.06904109589041096,260.0,0.06388206388206388,FD001,1.0,2,20
1.3,417,279,3371,3,0.007142857142857143,0.07643835616438356,285.0,0.07002457002457002,FD001,1.0,2,20
1.35,417,313,3337,3,0.007142857142857143,0.08575342465753424,319.0,0.07837837837837838,FD001,1.0,2,20
1.4,419,343,3307,1,0.002380952380952381,0.09397260273972603,345.0,0.08476658476658476,FD001,1.0,2,20
1.45,419,368,3282,1,0.002380952380952381,0.10082191780821918,370.0,0.09090909090909091,FD001,1.0,2,20
1.5,419,404,3246,1,0.002380952380952381,0.11068493150684931,406.0,0.09975429975429975,FD001,1.0,2,20
1.55,420,438,3212,0,0.0,0.12,438.0,0.10761670761670762,FD001,1.0,2,20
1.6,420,472,3178,0,0.0,0.1293150684931507,472.0,0.11597051597051597,FD001,1.0,2,20
1.65,420,503,3147,0,0.0,0.1378082191780822,503.0,0.12358722358722359,FD001,1.0,2,20
1.7,420,544,3106,0,0.0,0.14904109589041095,544.0,0.13366093366093365,FD001,1.0,2,20
1.75,420,585,3065,0,0.0,0.16027397260273973,585.0,0.14373464373464373,FD001,1.0,2,20
1.8,420,626,3024,0,0.0,0.1715068493150685,626.0,0.1538083538083538,FD001,1.0,2,20
1.85,420,660,2990,0,0.0,0.18082191780821918,660.0,0.16216216216216217,FD001,1.0,2,20
1.9,420,705,2945,0,0.0,0.19315068493150686,705.0,0.1732186732186732,FD001,1.0,2,20
1.95,420,731,2919,0,0.0,0.2002739726027397,731.0,0.1796068796068796,FD001,1.0,2,20
2.0,420,768,2882,0,0.0,0.2104109589041096,768.0,0.1886977886977887,FD001,1.0,2,20
0.0,343,20,3630,77,0.18333333333333332,0.005479452054794521,405.0,0.09950859950859951,FD001,1.0,5,20
0.05,346,22,3628,74,0.1761904761904762,0.006027397260273973,392.0,0.09631449631449632,FD001,1.0,5,20
0.1,348,24,3626,72,0.17142857142857143,0.006575342465753425,384.0,0.09434889434889435,FD001,1.0,5,20
0.15,354,28,3622,66,0.15714285714285714,0.007671232876712329,358.0,0.08796068796068796,FD001,1.0,5,20
0.2,359,29,3621,61,0.14523809523809525,0.007945205479452055,334.0,0.08206388206388206,FD001,1.0,5,20
0.25,363,31,3619,57,0.1357142857142857,0.008493150684931507,316.0,0.07764127764127764,FD001,1.0,5,20
0.3,365,33,3617,55,0.13095238095238096,0.00904109589041096,308.0,0.07567567567567568,FD001,1.0,5,20
0.35,367,36,3614,53,0.1261904761904762,0.009863013698630137,301.0,0.07395577395577396,FD001,1.0,5,20
0.4,374,41,3609,46,0.10952380952380952,0.011232876712328766,271.0,0.06658476658476659,FD001,1.0,5,20
