Model,MAE,RMSE,R2
Gradient Boosting,15.151342058882667,20.187635233122993,0.8139868097817853
Random Forest,15.233041769041769,20.32148477569844,0.8115119958987418
Decision Tree,17.418022962804677,23.032318861027193,0.7578702397891489
Linear Regression,18.824860250167937,23.492424441771934,0.7480997951141044
