Model,MAE,RMSE,R2
Gradient Boosting,14.69176821712472,19.802447639850215,0.8210174914997831
Random Forest,14.940982800982802,20.526834589875232,0.8076833839497812
Decision Tree,15.950953195258476,21.47744896733821,0.7894582468777837
Linear Regression,18.56455689005605,23.31860026593746,0.75181370336194
