k,TP_maintained_risky,FP_unnecessary_maintenance,TN_correct_no_maintenance,FN_missed_risky_cases,false_negative_rate,false_positive_rate,total_cost,average_cost_per_sample,dataset,method,cost_fn,cost_fp,split_used_for_k_selection
0.0,385,74,3742,35,0.08333333333333333,0.01939203354297694,144.0,0.0339943342776204,FD001,quantile_gbr,2,1.0,calibration
0.05,390,80,3736,30,0.07142857142857142,0.020964360587002098,140.0,0.033050047214353166,FD001,quantile_gbr,2,1.0,calibration
0.1,392,85,3731,28,0.06666666666666667,0.022274633123689727,141.0,0.03328611898016997,FD001,quantile_gbr,2,1.0,calibration
0.15,394,90,3726,26,0.06190476190476191,0.02358490566037736,142.0,0.03352219074598678,FD001,quantile_gbr,2,1.0,calibration
0.2,397,96,3720,23,0.05476190476190476,0.025157232704402517,142.0,0.03352219074598678,FD001,quantile_gbr,2,1.0,calibration
0.25,397,102,3714,23,0.05476190476190476,0.026729559748427674,148.0,0.03493862134088763,FD001,quantile_gbr,2,1.0,calibration
0.3,399,108,3708,21,0.05,0.02830188679245283,150.0,0.03541076487252125,FD001,quantile_gbr,2,1.0,calibration
0.35,400,116,3700,20,0.047619047619047616,0.03039832285115304,156.0,0.036827195467422094,FD001,quantile_gbr,2,1.0,calibration
0.4,400,124,3692,20,0.047619047619047616,0.03249475890985325,164.0,0.03871576959395656,FD001,quantile_gbr,2,1.0,calibration
0.45,403,137,3679,17,0.04047619047619048,0.03590146750524109,171.0,0.04036827195467422,FD001,quantile_gbr,2,1.0,calibration
0.5,405,142,3674,15,0.03571428571428571,0.037211740041928724,172.0,0.04060434372049103,FD001,quantile_gbr,2,1.0,calibration
0.55,409,149,3667,11,0.02619047619047619,0.039046121593291405,171.0,0.04036827195467422,FD001,quantile_gbr,2,1.0,calibration
0.6,409,158,3658,11,0.02619047619047619,0.04140461215932914,180.0,0.042492917847025496,FD001,quantile_gbr,2,1.0,calibration
0.65,413,168,3648,7,0.016666666666666666,0.0440251572327044,182.0,0.04296506137865911,FD001,quantile_gbr,2,1.0,calibration
0.7,416,190,3626,4,0.009523809523809525,0.04979035639412998,198.0,0.046742209631728045,FD001,quantile_gbr,2,1.0,calibration
0.75,416,212,3604,4,0.009523809523809525,0.05555555555555555,220.0,0.05193578847969783,FD001,quantile_gbr,2,1.0,calibration
0.8,416,234,3582,4,0.009523809523809525,0.06132075471698113,242.0,0.05712936732766761,FD001,quantile_gbr,2,1.0,calibration
0.85,420,263,3553,0,0.0,0.06892033542976939,263.0,0.06208687440982059,FD001,quantile_gbr,2,1.0,calibration
0.9,420,282,3534,0,0.0,0.07389937106918239,282.0,0.06657223796033994,FD001,quantile_gbr,2,1.0,calibration
0.95,420,313,3503,0,0.0,0.0820230607966457,313.0,0.073890462700661,FD001,quantile_gbr,2,1.0,calibration
1.0,420,325,3491,0,0.0,0.08516771488469602,325.0,0.0767233238904627,FD001,quantile_gbr,2,1.0,calibration
1.05,420,356,3460,0,0.0,0.09329140461215933,356.0,0.08404154863078375,FD001,quantile_gbr,2,1.0,calibration
1.1,420,375,3441,0,0.0,0.09827044025157233,375.0,0.08852691218130311,FD001,quantile_gbr,2,1.0,calibration
1.15,420,402,3414,0,0.0,0.10534591194968554,402.0,0.09490084985835694,FD001,quantile_gbr,2,1.0,calibration
1.2,420,436,3380,0,0.0,0.11425576519916142,436.0,0.10292728989612843,FD001,quantile_gbr,2,1.0,calibration
1.25,420,472,3344,0,0.0,0.12368972746331237,472.0,0.11142587346553352,FD001,quantile_gbr,2,1.0,calibration
1.3,420,526,3290,0,0.0,0.13784067085953877,526.0,0.12417374881964117,FD001,quantile_gbr,2,1.0,calibration
1.35,420,613,3203,0,0.0,0.16063941299790357,613.0,0.14471199244570349,FD001,quantile_gbr,2,1.0,calibration
1.4,420,704,3112,0,0.0,0.18448637316561844,704.0,0.16619452313503305,FD001,quantile_gbr,2,1.0,calibration
1.45,420,815,3001,0,0.0,0.21357442348008385,815.0,0.19239848914069876,FD001,quantile_gbr,2,1.0,calibration
