k,TP_maintained_risky,FP_unnecessary_maintenance,TN_correct_no_maintenance,FN_missed_risky_cases,false_negative_rate,false_positive_rate,total_cost,average_cost_per_sample,dataset,method,cost_fn,cost_fp,split_used_for_k_selection
0.0,319,35,4755,101,0.24047619047619048,0.007306889352818371,237.0,0.045489443378119,FD003,quantile_gbr,2,1.0,calibration
0.05,322,39,4751,98,0.23333333333333334,0.0081419624217119,235.0,0.045105566218809984,FD003,quantile_gbr,2,1.0,calibration
0.1,327,46,4744,93,0.22142857142857142,0.009603340292275574,232.0,0.04452975047984645,FD003,quantile_gbr,2,1.0,calibration
0.15,337,52,4738,83,0.1976190476190476,0.010855949895615866,218.0,0.0418426103646833,FD003,quantile_gbr,2,1.0,calibration
0.2,341,68,4722,79,0.1880952380952381,0.014196242171189978,226.0,0.04337811900191939,FD003,quantile_gbr,2,1.0,calibration
0.25,345,79,4711,75,0.17857142857142858,0.01649269311064718,229.0,0.04395393474088292,FD003,quantile_gbr,2,1.0,calibration
0.3,347,87,4703,73,0.1738095238095238,0.01816283924843424,233.0,0.04472168905950096,FD003,quantile_gbr,2,1.0,calibration
0.35,350,92,4698,70,0.16666666666666666,0.019206680584551147,232.0,0.04452975047984645,FD003,quantile_gbr,2,1.0,calibration
0.4,355,101,4689,65,0.15476190476190477,0.021085594989561588,231.0,0.04433781190019194,FD003,quantile_gbr,2,1.0,calibration
0.45,360,104,4686,60,0.14285714285714285,0.021711899791231733,224.0,0.042994241842610366,FD003,quantile_gbr,2,1.0,calibration
0.5,362,111,4679,58,0.1380952380952381,0.023173277661795406,227.0,0.043570057581573896,FD003,quantile_gbr,2,1.0,calibration
0.55,367,118,4672,53,0.1261904761904762,0.024634655532359082,224.0,0.042994241842610366,FD003,quantile_gbr,2,1.0,calibration
0.6,371,126,4664,49,0.11666666666666667,0.02630480167014614,224.0,0.042994241842610366,FD003,quantile_gbr,2,1.0,calibration
0.65,375,133,4657,45,0.10714285714285714,0.027766179540709812,223.0,0.04280230326295585,FD003,quantile_gbr,2,1.0,calibration
0.7,377,141,4649,43,0.10238095238095238,0.02943632567849687,227.0,0.043570057581573896,FD003,quantile_gbr,2,1.0,calibration
0.75,378,143,4647,42,0.1,0.029853862212943633,227.0,0.043570057581573896,FD003,quantile_gbr,2,1.0,calibration
0.8,380,148,4642,40,0.09523809523809523,0.030897703549060542,228.0,0.04376199616122841,FD003,quantile_gbr,2,1.0,calibration
0.85,381,159,4631,39,0.09285714285714286,0.033194154488517744,237.0,0.045489443378119,FD003,quantile_gbr,2,1.0,calibration
0.9,384,167,4623,36,0.08571428571428572,0.0348643006263048,239.0,0.04587332053742802,FD003,quantile_gbr,2,1.0,calibration
0.95,390,174,4616,30,0.07142857142857142,0.03632567849686848,234.0,0.04491362763915547,FD003,quantile_gbr,2,1.0,calibration
1.0,392,182,4608,28,0.06666666666666667,0.037995824634655534,238.0,0.04568138195777351,FD003,quantile_gbr,2,1.0,calibration
1.05,393,195,4595,27,0.06428571428571428,0.0407098121085595,249.0,0.04779270633397313,FD003,quantile_gbr,2,1.0,calibration
1.1,394,206,4584,26,0.06190476190476191,0.043006263048016705,258.0,0.04952015355086373,FD003,quantile_gbr,2,1.0,calibration
1.15,396,215,4575,24,0.05714285714285714,0.04488517745302714,263.0,0.05047984644913628,FD003,quantile_gbr,2,1.0,calibration
1.2,397,231,4559,23,0.05476190476190476,0.048225469728601256,277.0,0.053166986564299426,FD003,quantile_gbr,2,1.0,calibration
1.25,401,255,4535,19,0.04523809523809524,0.05323590814196242,293.0,0.056238003838771596,FD003,quantile_gbr,2,1.0,calibration
1.3,402,290,4500,18,0.04285714285714286,0.060542797494780795,326.0,0.06257197696737044,FD003,quantile_gbr,2,1.0,calibration
1.35,404,337,4453,16,0.0380952380952381,0.07035490605427976,369.0,0.0708253358925144,FD003,quantile_gbr,2,1.0,calibration
1.4,404,397,4393,16,0.0380952380952381,0.08288100208768268,429.0,0.08234165067178503,FD003,quantile_gbr,2,1.0,calibration
1.45,406,482,4308,14,0.03333333333333333,0.10062630480167015,510.0,0.09788867562380038,FD003,quantile_gbr,2,1.0,calibration
1.5,406,542,4248,14,0.03333333333333333,0.11315240083507307,570.0,0.10940499040307101,FD003,quantile_gbr,2,1.0,calibration
1.55,410,604,4186,10,0.023809523809523808,0.12609603340292275,624.0,0.11976967370441459,FD003,quantile_gbr,2,1.0,calibration
1.6,413,674,4116,7,0.016666666666666666,0.1407098121085595,688.0,0.13205374280230325,FD003,quantile_gbr,2,1.0,calibration
1.65,413,742,4048,7,0.016666666666666666,0.1549060542797495,756.0,0.14510556621881,FD003,quantile_gbr,2,1.0,calibration
1.7,413,796,3994,7,0.016666666666666666,0.1661795407098121,810.0,0.15547024952015356,FD003,quantile_gbr,2,1.0,calibration
1.75,413,873,3917,7,0.016666666666666666,0.1822546972860125,887.0,0.17024952015355085,FD003,quantile_gbr,2,1.0,calibration
1.8,413,946,3844,7,0.016666666666666666,0.19749478079331942,960.0,0.18426103646833014,FD003,quantile_gbr,2,1.0,calibration
1.85,413,1028,3762,7,0.016666666666666666,0.21461377870563675,1042.0,0.2,FD003,quantile_gbr,2,1.0,calibration
1.9,415,1123,3667,5,0.011904761904761904,0.23444676409185805,1133.0,0.21746641074856046,FD003,quantile_gbr,2,1.0,calibration
1.95,417,1193,3597,3,0.007142857142857143,0.2490605427974948,1199.0,0.23013435700575816,FD003,quantile_gbr,2,1.0,calibration
