k,TP_maintained_risky,FP_unnecessary_maintenance,TN_correct_no_maintenance,FN_missed_risky_cases,false_negative_rate,false_positive_rate,total_cost,average_cost_per_sample,dataset,method,cost_fn,cost_fp,split_used_for_k_selection
0.0,216,46,9356,876,0.8021978021978022,0.0048925760476494365,1798.0,0.17133600152468076,FD002,bootstrap_gbr,2,1.0,calibration
0.05,217,46,9356,875,0.8012820512820513,0.0048925760476494365,1796.0,0.1711454164284353,FD002,bootstrap_gbr,2,1.0,calibration
0.1,219,47,9355,873,0.7994505494505495,0.004998936396511381,1793.0,0.1708595387840671,FD002,bootstrap_gbr,2,1.0,calibration
0.15,224,47,9355,868,0.7948717948717948,0.004998936396511381,1783.0,0.1699066133028397,FD002,bootstrap_gbr,2,1.0,calibration
0.2,226,47,9355,866,0.793040293040293,0.004998936396511381,1779.0,0.16952544311034878,FD002,bootstrap_gbr,2,1.0,calibration
0.25,227,47,9355,865,0.7921245421245421,0.004998936396511381,1777.0,0.1693348580141033,FD002,bootstrap_gbr,2,1.0,calibration
0.3,230,48,9354,862,0.7893772893772893,0.005105296745373325,1772.0,0.16885839527348961,FD002,bootstrap_gbr,2,1.0,calibration
0.35,232,48,9354,860,0.7875457875457875,0.005105296745373325,1768.0,0.16847722508099866,FD002,bootstrap_gbr,2,1.0,calibration
0.4,235,49,9353,857,0.7847985347985348,0.0052116570942352695,1763.0,0.16800076234038497,FD002,bootstrap_gbr,2,1.0,calibration
0.45,236,50,9352,856,0.7838827838827839,0.005318017443097213,1762.0,0.16790546979226226,FD002,bootstrap_gbr,2,1.0,calibration
0.5,238,51,9351,854,0.782051282051282,0.005424377791959157,1759.0,0.16761959214789404,FD002,bootstrap_gbr,2,1.0,calibration
0.55,241,52,9350,851,0.7793040293040293,0.005530738140821102,1754.0,0.16714312940728035,FD002,bootstrap_gbr,2,1.0,calibration
0.6,243,52,9350,849,0.7774725274725275,0.005530738140821102,1750.0,0.1667619592147894,FD002,bootstrap_gbr,2,1.0,calibration
0.65,245,53,9349,847,0.7756410256410257,0.005637098489683046,1747.0,0.16647608157042118,FD002,bootstrap_gbr,2,1.0,calibration
0.7,247,53,9349,845,0.7738095238095238,0.005637098489683046,1743.0,0.16609491137793025,FD002,bootstrap_gbr,2,1.0,calibration
0.75,250,53,9349,842,0.7710622710622711,0.005637098489683046,1737.0,0.16552315608919382,FD002,bootstrap_gbr,2,1.0,calibration
0.8,252,53,9349,840,0.7692307692307693,0.005637098489683046,1733.0,0.16514198589670287,FD002,bootstrap_gbr,2,1.0,calibration
