k,TP_maintained_risky,FP_unnecessary_maintenance,TN_correct_no_maintenance,FN_missed_risky_cases,false_negative_rate,false_positive_rate,total_cost,average_cost_per_sample,dataset,cost_fn,cost_fp,split_used_for_k_selection
0.0,500,108,10790,550,0.5238095238095238,0.009910075243163884,1208.0,0.10110478741211919,FD004,2,1.0,calibration
0.05,531,118,10780,519,0.4942857142857143,0.010827674802716094,1156.0,0.09675259457649815,FD004,2,1.0,calibration
0.1,561,129,10769,489,0.4657142857142857,0.011837034318223527,1107.0,0.09265148978908604,FD004,2,1.0,calibration
0.15,586,147,10751,464,0.4419047619047619,0.013488713525417508,1075.0,0.08997321727485771,FD004,2,1.0,calibration
0.2,613,163,10735,437,0.41619047619047617,0.014956872820701047,1037.0,0.08679276866421158,FD004,2,1.0,calibration
0.25,626,175,10723,424,0.4038095238095238,0.0160579922921637,1023.0,0.08562102443923669,FD004,2,1.0,calibration
0.3,645,189,10709,405,0.38571428571428573,0.017342631675536797,999.0,0.08361232005356545,FD004,2,1.0,calibration
0.35,668,204,10694,382,0.3638095238095238,0.018719031014865113,968.0,0.08101774355540677,FD004,2,1.0,calibration
0.4,693,222,10676,357,0.34,0.020370710222059094,936.0,0.07833947104117844,FD004,2,1.0,calibration
0.45,717,244,10654,333,0.3171428571428571,0.02238942925307396,910.0,0.07616337462336793,FD004,2,1.0,calibration
0.5,738,269,10629,312,0.29714285714285715,0.024683428151954488,893.0,0.07474054235018412,FD004,2,1.0,calibration
0.55,757,302,10596,293,0.27904761904761904,0.027711506698476784,888.0,0.07432206226983595,FD004,2,1.0,calibration
0.6,771,333,10565,279,0.26571428571428574,0.03055606533308864,891.0,0.07457315031804486,FD004,2,1.0,calibration
0.65,796,364,10534,254,0.2419047619047619,0.03340062396770049,872.0,0.0729829260127218,FD004,2,1.0,calibration
0.7,818,400,10498,232,0.22095238095238096,0.036703982382088454,864.0,0.07231335788416471,FD004,2,1.0,calibration
0.75,829,450,10448,221,0.21047619047619048,0.041291980179849516,892.0,0.0746568463341145,FD004,2,1.0,calibration
0.8,845,509,10389,205,0.19523809523809524,0.04670581758120756,919.0,0.07691663876799465,FD004,2,1.0,calibration
0.85,868,557,10341,182,0.17333333333333334,0.05111029546705818,921.0,0.07708403080013392,FD004,2,1.0,calibration
0.9,886,610,10288,164,0.15619047619047619,0.055973573132684896,938.0,0.07850686307331771,FD004,2,1.0,calibration
0.95,894,668,10230,156,0.14857142857142858,0.061295650578087724,980.0,0.08202209574824239,FD004,2,1.0,calibration
1.0,904,729,10169,146,0.13904761904761906,0.06689300789135622,1021.0,0.08545363240709743,FD004,2,1.0,calibration
1.05,918,791,10107,132,0.12571428571428572,0.07258212516057992,1055.0,0.08829929695346501,FD004,2,1.0,calibration
1.1,932,871,10027,118,0.11238095238095239,0.07992292163699762,1107.0,0.09265148978908604,FD004,2,1.0,calibration
1.15,941,940,9958,109,0.10380952380952381,0.08625435859790788,1158.0,0.09691998660863743,FD004,2,1.0,calibration
1.2,951,1013,9885,99,0.09428571428571429,0.09295283538263902,1211.0,0.1013558754603281,FD004,2,1.0,calibration
1.25,962,1087,9811,88,0.0838095238095238,0.09974307212332538,1263.0,0.10570806829594911,FD004,2,1.0,calibration
1.3,972,1177,9721,78,0.07428571428571429,0.10800146815929529,1333.0,0.11156678942082357,FD004,2,1.0,calibration
1.35,974,1263,9635,76,0.07238095238095238,0.1158928243714443,1415.0,0.11842986273853365,FD004,2,1.0,calibration
1.4,983,1356,9542,67,0.06380952380952382,0.12442650027527986,1490.0,0.12470706394375627,FD004,2,1.0,calibration
1.45,989,1462,9436,61,0.058095238095238096,0.13415305560653332,1584.0,0.13257448945430197,FD004,2,1.0,calibration
1.5,996,1567,9331,54,0.05142857142857143,0.14378785098183153,1675.0,0.14019082691663876,FD004,2,1.0,calibration
1.55,1003,1647,9251,47,0.04476190476190476,0.15112864745824922,1741.0,0.14571476397723468,FD004,2,1.0,calibration
1.6,1006,1755,9143,44,0.0419047619047619,0.1610387227014131,1843.0,0.15425175761633747,FD004,2,1.0,calibration
1.65,1010,1867,9031,40,0.0380952380952381,0.17131583776839787,1947.0,0.1629561432875795,FD004,2,1.0,calibration
1.7,1015,1981,8917,35,0.03333333333333333,0.18177647274729308,2051.0,0.17166052895882156,FD004,2,1.0,calibration
1.75,1017,2104,8794,33,0.03142857142857143,0.1930629473297853,2170.0,0.18162035487110814,FD004,2,1.0,calibration
1.8,1023,2229,8669,27,0.025714285714285714,0.20453294182418794,2283.0,0.1910780046869769,FD004,2,1.0,calibration
1.85,1026,2354,8544,24,0.022857142857142857,0.21600293631859058,2402.0,0.20103783059926347,FD004,2,1.0,calibration
1.9,1030,2486,8412,20,0.01904761904761905,0.22811525050467976,2526.0,0.21141613659189823,FD004,2,1.0,calibration
1.95,1031,2607,8291,19,0.018095238095238095,0.23921820517526152,2645.0,0.22137596250418481,FD004,2,1.0,calibration
2.0,1036,2761,8137,14,0.013333333333333334,0.25334923839236556,2789.0,0.23342818881821226,FD004,2,1.0,calibration
2.05,1037,2882,8016,13,0.012380952380952381,0.2644521930629473,2908.0,0.24338801473049884,FD004,2,1.0,calibration
2.1,1037,3011,7887,13,0.012380952380952381,0.27628922738117084,3037.0,0.25418480080348177,FD004,2,1.0,calibration
2.15,1037,3143,7755,13,0.012380952380952381,0.28840154156726006,3169.0,0.26523267492467356,FD004,2,1.0,calibration
2.2,1037,3269,7629,13,0.012380952380952381,0.2999632960176179,3295.0,0.2757783729494476,FD004,2,1.0,calibration
2.25,1039,3393,7505,11,0.010476190476190476,0.31134153055606534,3415.0,0.2858218948778038,FD004,2,1.0,calibration
2.3,1043,3511,7387,7,0.006666666666666667,0.3221692053587814,3525.0,0.2950284566454637,FD004,2,1.0,calibration
2.35,1044,3631,7267,6,0.005714285714285714,0.333180400073408,3643.0,0.3049045865416806,FD004,2,1.0,calibration
2.4,1044,3767,7131,6,0.005714285714285714,0.34565975408331806,3779.0,0.316287244727151,FD004,2,1.0,calibration
2.45,1045,3891,7007,5,0.004761904761904762,0.35703798862176545,3901.0,0.3264981586876465,FD004,2,1.0,calibration
2.5,1045,4011,6887,5,0.004761904761904762,0.36804918333639197,4021.0,0.3365416806160027,FD004,2,1.0,calibration
2.55,1045,4135,6763,5,0.004761904761904762,0.3794274178748394,4145.0,0.34691998660863743,FD004,2,1.0,calibration
2.6,1045,4243,6655,5,0.004761904761904762,0.3893374931180033,4253.0,0.35595915634415803,FD004,2,1.0,calibration
2.65,1045,4369,6529,5,0.004761904761904762,0.40089924756836115,4379.0,0.36650485436893204,FD004,2,1.0,calibration
2.7,1045,4501,6397,5,0.004761904761904762,0.41301156175445036,4511.0,0.3775527284901239,FD004,2,1.0,calibration
2.75,1046,4633,6265,4,0.0038095238095238095,0.4251238759405396,4641.0,0.38843321057917646,FD004,2,1.0,calibration
2.8,1046,4767,6131,4,0.0038095238095238095,0.4374197100385392,4775.0,0.39964847673250753,FD004,2,1.0,calibration
2.85,1046,4887,6011,4,0.0038095238095238095,0.4484309047531657,4895.0,0.40969199866086375,FD004,2,1.0,calibration
2.9,1046,4993,5905,4,0.0038095238095238095,0.45815746008441915,5001.0,0.4185637763642451,FD004,2,1.0,calibration
2.95,1046,5112,5786,4,0.0038095238095238095,0.46907689484309045,5120.0,0.42852360227653163,FD004,2,1.0,calibration
3.0,1046,5206,5692,4,0.0038095238095238095,0.47770233070288126,5214.0,0.43639102778707733,FD004,2,1.0,calibration
0.0,500,108,10790,550,0.5238095238095238,0.009910075243163884,2858.0,0.23920321392701707,FD004,5,1.0,calibration
0.05,531,118,10780,519,0.4942857142857143,0.010827674802716094,2713.0,0.22706729159692,FD004,5,1.0,calibration
0.1,561,129,10769,489,0.4657142857142857,0.011837034318223527,2574.0,0.21543354536324072,FD004,5,1.0,calibration
0.15,586,147,10751,464,0.4419047619047619,0.013488713525417508,2467.0,0.20647807164378976,FD004,5,1.0,calibration
0.2,613,163,10735,437,0.41619047619047617,0.014956872820701047,2348.0,0.19651824573150317,FD004,5,1.0,calibration
0.25,626,175,10723,424,0.4038095238095238,0.0160579922921637,2295.0,0.1920823568798125,FD004,5,1.0,calibration
0.3,645,189,10709,405,0.38571428571428573,0.017342631675536797,2214.0,0.18530297957817207,FD004,5,1.0,calibration
0.35,668,204,10694,382,0.3638095238095238,0.018719031014865113,2114.0,0.17693337797120856,FD004,5,1.0,calibration
0.4,693,222,10676,357,0.34,0.020370710222059094,2007.0,0.16797790425175763,FD004,5,1.0,calibration
