k,TP_maintained_risky,FP_unnecessary_maintenance,TN_correct_no_maintenance,FN_missed_risky_cases,false_negative_rate,false_positive_rate,total_cost,average_cost_per_sample,dataset,cost_fn,cost_fp,split_used_for_k_selection
0.0,329,34,4756,91,0.21666666666666667,0.007098121085594989,216.0,0.04145873320537428,FD003,2,1.0,calibration
0.05,335,43,4747,85,0.20238095238095238,0.008977035490605427,213.0,0.04088291746641075,FD003,2,1.0,calibration
0.1,335,48,4742,85,0.20238095238095238,0.010020876826722338,218.0,0.0418426103646833,FD003,2,1.0,calibration
0.15,338,50,4740,82,0.19523809523809524,0.010438413361169102,214.0,0.04107485604606526,FD003,2,1.0,calibration
0.2,341,56,4734,79,0.1880952380952381,0.011691022964509395,214.0,0.04107485604606526,FD003,2,1.0,calibration
0.25,346,60,4730,74,0.1761904761904762,0.012526096033402923,208.0,0.039923224568138196,FD003,2,1.0,calibration
0.3,352,66,4724,68,0.1619047619047619,0.013778705636743214,202.0,0.03877159309021113,FD003,2,1.0,calibration
0.35,354,70,4720,66,0.15714285714285714,0.014613778705636743,202.0,0.03877159309021113,FD003,2,1.0,calibration
0.4,357,73,4717,63,0.15,0.015240083507306889,199.0,0.0381957773512476,FD003,2,1.0,calibration
0.45,357,81,4709,63,0.15,0.016910229645093946,207.0,0.03973128598848368,FD003,2,1.0,calibration
0.5,361,88,4702,59,0.14047619047619048,0.01837160751565762,206.0,0.039539347408829174,FD003,2,1.0,calibration
0.55,365,92,4698,55,0.13095238095238096,0.019206680584551147,202.0,0.03877159309021113,FD003,2,1.0,calibration
0.6,368,98,4692,52,0.12380952380952381,0.02045929018789144,202.0,0.03877159309021113,FD003,2,1.0,calibration
0.65,369,105,4685,51,0.12142857142857143,0.021920668058455117,207.0,0.03973128598848368,FD003,2,1.0,calibration
0.7,373,112,4678,47,0.11190476190476191,0.02338204592901879,206.0,0.039539347408829174,FD003,2,1.0,calibration
0.75,374,118,4672,46,0.10952380952380952,0.024634655532359082,210.0,0.04030710172744722,FD003,2,1.0,calibration
0.8,376,128,4662,44,0.10476190476190476,0.026722338204592903,216.0,0.04145873320537428,FD003,2,1.0,calibration
0.85,380,144,4646,40,0.09523809523809523,0.030062630480167014,224.0,0.042994241842610366,FD003,2,1.0,calibration
0.9,382,159,4631,38,0.09047619047619047,0.033194154488517744,235.0,0.045105566218809984,FD003,2,1.0,calibration
0.95,386,176,4614,34,0.08095238095238096,0.03674321503131524,244.0,0.04683301343570057,FD003,2,1.0,calibration
1.0,388,188,4602,32,0.0761904761904762,0.03924843423799582,252.0,0.04836852207293666,FD003,2,1.0,calibration
1.05,392,205,4585,28,0.06666666666666667,0.04279749478079332,261.0,0.05009596928982726,FD003,2,1.0,calibration
1.1,394,222,4568,26,0.06190476190476191,0.04634655532359081,274.0,0.05259117082533589,FD003,2,1.0,calibration
1.15,399,234,4556,21,0.05,0.0488517745302714,276.0,0.05297504798464491,FD003,2,1.0,calibration
1.2,400,246,4544,20,0.047619047619047616,0.05135699373695198,286.0,0.05489443378119002,FD003,2,1.0,calibration
1.25,402,263,4527,18,0.04285714285714286,0.054906054279749476,299.0,0.057389635316698655,FD003,2,1.0,calibration
1.3,405,288,4502,15,0.03571428571428571,0.06012526096033403,318.0,0.061036468330134354,FD003,2,1.0,calibration
1.35,408,309,4481,12,0.02857142857142857,0.06450939457202505,333.0,0.06391554702495202,FD003,2,1.0,calibration
1.4,410,335,4455,10,0.023809523809523808,0.06993736951983298,355.0,0.06813819577735125,FD003,2,1.0,calibration
1.45,412,367,4423,8,0.01904761904761905,0.07661795407098121,383.0,0.07351247600767755,FD003,2,1.0,calibration
1.5,413,396,4394,7,0.016666666666666666,0.0826722338204593,410.0,0.07869481765834933,FD003,2,1.0,calibration
1.55,413,420,4370,7,0.016666666666666666,0.08768267223382047,434.0,0.08330134357005758,FD003,2,1.0,calibration
1.6,414,438,4352,6,0.014285714285714285,0.09144050104384134,450.0,0.08637236084452975,FD003,2,1.0,calibration
1.65,414,468,4322,6,0.014285714285714285,0.0977035490605428,480.0,0.09213051823416507,FD003,2,1.0,calibration
1.7,416,506,4284,4,0.009523809523809525,0.10563674321503132,514.0,0.09865642994241842,FD003,2,1.0,calibration
1.75,417,545,4245,3,0.007142857142857143,0.11377870563674322,551.0,0.10575815738963532,FD003,2,1.0,calibration
1.8,417,582,4208,3,0.007142857142857143,0.12150313152400835,588.0,0.1128598848368522,FD003,2,1.0,calibration
1.85,417,619,4171,3,0.007142857142857143,0.12922755741127348,625.0,0.1199616122840691,FD003,2,1.0,calibration
1.9,417,668,4122,3,0.007142857142857143,0.1394572025052192,674.0,0.12936660268714012,FD003,2,1.0,calibration
1.95,417,718,4072,3,0.007142857142857143,0.1498956158663883,724.0,0.13896353166986564,FD003,2,1.0,calibration
2.0,417,753,4037,3,0.007142857142857143,0.15720250521920667,759.0,0.14568138195777353,FD003,2,1.0,calibration
2.05,418,789,4001,2,0.004761904761904762,0.16471816283924842,793.0,0.15220729366602687,FD003,2,1.0,calibration
2.1,418,831,3959,2,0.004761904761904762,0.17348643006263048,835.0,0.16026871401151632,FD003,2,1.0,calibration
2.15,419,869,3921,1,0.002380952380952381,0.181419624217119,871.0,0.1671785028790787,FD003,2,1.0,calibration
2.2,419,907,3883,1,0.002380952380952381,0.18935281837160753,909.0,0.1744721689059501,FD003,2,1.0,calibration
2.25,420,962,3828,0,0.0,0.20083507306889353,962.0,0.18464491362763916,FD003,2,1.0,calibration
2.3,420,1018,3772,0,0.0,0.21252609603340292,1018.0,0.19539347408829175,FD003,2,1.0,calibration
2.35,420,1068,3722,0,0.0,0.22296450939457202,1068.0,0.20499040307101726,FD003,2,1.0,calibration
2.4,420,1118,3672,0,0.0,0.23340292275574112,1118.0,0.2145873320537428,FD003,2,1.0,calibration
2.45,420,1181,3609,0,0.0,0.2465553235908142,1181.0,0.22667946257197696,FD003,2,1.0,calibration
2.5,420,1227,3563,0,0.0,0.2561586638830898,1227.0,0.23550863723608445,FD003,2,1.0,calibration
2.55,420,1275,3515,0,0.0,0.2661795407098121,1275.0,0.24472168905950095,FD003,2,1.0,calibration
2.6,420,1327,3463,0,0.0,0.277035490605428,1327.0,0.2547024952015355,FD003,2,1.0,calibration
2.65,420,1364,3426,0,0.0,0.2847599164926931,1364.0,0.2618042226487524,FD003,2,1.0,calibration
2.7,420,1410,3380,0,0.0,0.29436325678496866,1410.0,0.2706333973128599,FD003,2,1.0,calibration
2.75,420,1462,3328,0,0.0,0.30521920668058455,1462.0,0.2806142034548944,FD003,2,1.0,calibration
2.8,420,1511,3279,0,0.0,0.31544885177453025,1511.0,0.29001919385796543,FD003,2,1.0,calibration
2.85,420,1554,3236,0,0.0,0.3244258872651357,1554.0,0.2982725527831094,FD003,2,1.0,calibration
2.9,420,1593,3197,0,0.0,0.3325678496868476,1593.0,0.3057581573896353,FD003,2,1.0,calibration
2.95,420,1634,3156,0,0.0,0.34112734864300626,1634.0,0.31362763915547026,FD003,2,1.0,calibration
3.0,420,1673,3117,0,0.0,0.34926931106471815,1673.0,0.3211132437619962,FD003,2,1.0,calibration
0.0,329,34,4756,91,0.21666666666666667,0.007098121085594989,489.0,0.09385796545105567,FD003,5,1.0,calibration
0.05,335,43,4747,85,0.20238095238095238,0.008977035490605427,468.0,0.08982725527831094,FD003,5,1.0,calibration
