policy,TP_maintained_risky,FP_unnecessary_maintenance,TN_correct_no_maintenance,FN_missed_risky_cases,false_negative_rate,false_positive_rate
decision_point_policy,346,20,3630,74,0.1761904761904762,0.005479452054794521
decision_uncertainty_policy,420,490,3160,0,0.0,0.13424657534246576
