k,TP_maintained_risky,FP_unnecessary_maintenance,TN_correct_no_maintenance,FN_missed_risky_cases,false_negative_rate,false_positive_rate,total_cost,average_cost_per_sample,dataset,cost_fp,cost_fn,maintenance_threshold
0.0,459,100,10805,591,0.5628571428571428,0.009170105456212746,1282.0,0.10723546633207863,FD004,1.0,2,20
0.05,478,110,10795,572,0.5447619047619048,0.010087116001834021,1254.0,0.10489335006273526,FD004,1.0,2,20
0.1,502,121,10784,548,0.5219047619047619,0.011095827602017423,1217.0,0.10179841070681724,FD004,1.0,2,20
0.15,527,140,10765,523,0.4980952380952381,0.012838147638697846,1186.0,0.09920535340861564,FD004,1.0,2,20
0.2,542,154,10751,508,0.4838095238095238,0.01412196240256763,1170.0,0.09786700125470514,FD004,1.0,2,20
0.25,563,168,10737,487,0.4638095238095238,0.015405777166437413,1142.0,0.09552488498536177,FD004,1.0,2,20
0.3,581,185,10720,469,0.44666666666666666,0.016964695093993582,1123.0,0.09393559180259306,FD004,1.0,2,20
0.35,595,206,10699,455,0.43333333333333335,0.018890417239798257,1116.0,0.09335006273525721,FD004,1.0,2,20
0.4,615,232,10673,435,0.4142857142857143,0.021274644658413572,1102.0,0.09217900460058553,FD004,1.0,2,20
0.45,633,257,10648,417,0.39714285714285713,0.02356717102246676,1091.0,0.09125888749477207,FD004,1.0,2,20
0.5,656,287,10618,394,0.37523809523809526,0.026318202659330582,1075.0,0.08992053534086157,FD004,1.0,2,20
0.55,685,315,10590,365,0.3476190476190476,0.02888583218707015,1045.0,0.08741112505227938,FD004,1.0,2,20
0.6,706,347,10558,344,0.32761904761904764,0.03182026593305823,1035.0,0.08657465495608532,FD004,1.0,2,20
0.65,721,380,10525,329,0.31333333333333335,0.03484640073360844,1038.0,0.08682559598494353,FD004,1.0,2,20
0.7,740,431,10474,310,0.29523809523809524,0.039523154516276936,1051.0,0.08791300710999582,FD004,1.0,2,20
0.75,762,482,10423,288,0.2742857142857143,0.04419990829894544,1058.0,0.08849853617733167,FD004,1.0,2,20
0.8,788,545,10360,262,0.24952380952380954,0.04997707473635947,1069.0,0.08941865328314513,FD004,1.0,2,20
0.85,803,588,10317,247,0.23523809523809525,0.05392022008253095,1082.0,0.0905060644081974,FD004,1.0,2,20
0.9,816,641,10264,234,0.22285714285714286,0.05878037597432371,1109.0,0.09276453366792137,FD004,1.0,2,20
0.95,829,700,10205,221,0.21047619047619048,0.06419073819348922,1142.0,0.09552488498536177,FD004,1.0,2,20
1.0,837,774,10131,213,0.20285714285714285,0.07097661623108666,1200.0,0.10037641154328733,FD004,1.0,2,20
1.05,849,852,10053,201,0.19142857142857142,0.0781292984869326,1254.0,0.10489335006273526,FD004,1.0,2,20
1.1,864,915,9990,186,0.17714285714285713,0.08390646492434663,1287.0,0.10765370138017566,FD004,1.0,2,20
1.15,876,991,9914,174,0.1657142857142857,0.09087574507106831,1339.0,0.11200334588038478,FD004,1.0,2,20
1.2,888,1070,9835,162,0.15428571428571428,0.09812012838147639,1394.0,0.11660393140945212,FD004,1.0,2,20
1.25,898,1143,9762,152,0.14476190476190476,0.1048143053645117,1447.0,0.12103722291928064,FD004,1.0,2,20
1.3,905,1235,9670,145,0.1380952380952381,0.11325080238422743,1525.0,0.1275616896695943,FD004,1.0,2,20
1.35,919,1336,9569,131,0.12476190476190477,0.12251260889500229,1598.0,0.13366792137181097,FD004,1.0,2,20
1.4,932,1432,9473,118,0.11238095238095239,0.13131591013296653,1668.0,0.13952321204516938,FD004,1.0,2,20
1.45,942,1529,9376,108,0.10285714285714286,0.14021091242549288,1745.0,0.14596403178586365,FD004,1.0,2,20
1.5,952,1624,9281,98,0.09333333333333334,0.148922512608895,1820.0,0.15223755750731913,FD004,1.0,2,20
1.55,955,1742,9163,95,0.09047619047619047,0.15974323704722604,1932.0,0.1616060225846926,FD004,1.0,2,20
1.6,969,1858,9047,81,0.07714285714285714,0.17038055937643282,2020.0,0.16896695943120033,FD004,1.0,2,20
1.65,976,1978,8927,74,0.07047619047619047,0.18138468592388812,2126.0,0.1778335424508574,FD004,1.0,2,20
1.7,979,2106,8799,71,0.06761904761904762,0.19312242090784043,2248.0,0.18803847762442494,FD004,1.0,2,20
1.75,986,2240,8665,64,0.06095238095238095,0.20541036221916553,2368.0,0.19807611877875367,FD004,1.0,2,20
1.8,990,2369,8536,60,0.05714285714285714,0.21723979825767997,2489.0,0.2081974069427018,FD004,1.0,2,20
1.85,992,2505,8400,58,0.05523809523809524,0.2297111416781293,2621.0,0.2192388122124634,FD004,1.0,2,20
1.9,999,2622,8283,51,0.04857142857142857,0.24044016506189822,2724.0,0.22785445420326222,FD004,1.0,2,20
1.95,1005,2756,8149,45,0.04285714285714286,0.2527281063732233,2846.0,0.23805938937682977,FD004,1.0,2,20
2.0,1010,2890,8015,40,0.0380952380952381,0.2650160476845484,2970.0,0.24843161856963614,FD004,1.0,2,20
0.0,459,100,10805,591,0.5628571428571428,0.009170105456212746,3055.0,0.2555416143872857,FD004,1.0,5,20
0.05,478,110,10795,572,0.5447619047619048,0.010087116001834021,2970.0,0.24843161856963614,FD004,1.0,5,20
0.1,502,121,10784,548,0.5219047619047619,0.011095827602017423,2861.0,0.23931409452112087,FD004,1.0,5,20
