k,TP_maintained_risky,FP_unnecessary_maintenance,TN_correct_no_maintenance,FN_missed_risky_cases,false_negative_rate,false_positive_rate,total_cost,average_cost_per_sample,dataset,method,cost_fn,cost_fp,split_used_for_k_selection
0.0,335,37,4753,85,0.20238095238095238,0.0077244258872651355,207.0,0.03973128598848368,FD003,bootstrap_rf,2,1.0,calibration
0.05,335,40,4750,85,0.20238095238095238,0.008350730688935281,210.0,0.04030710172744722,FD003,bootstrap_rf,2,1.0,calibration
0.1,337,40,4750,83,0.1976190476190476,0.008350730688935281,206.0,0.039539347408829174,FD003,bootstrap_rf,2,1.0,calibration
0.15,338,42,4748,82,0.19523809523809524,0.008768267223382045,206.0,0.039539347408829174,FD003,bootstrap_rf,2,1.0,calibration
0.2,339,43,4747,81,0.19285714285714287,0.008977035490605427,205.0,0.03934740882917467,FD003,bootstrap_rf,2,1.0,calibration
0.25,339,49,4741,81,0.19285714285714287,0.01022964509394572,211.0,0.040499040307101726,FD003,bootstrap_rf,2,1.0,calibration
0.3,340,51,4739,80,0.19047619047619047,0.010647181628392484,211.0,0.040499040307101726,FD003,bootstrap_rf,2,1.0,calibration
0.35,340,52,4738,80,0.19047619047619047,0.010855949895615866,212.0,0.04069097888675624,FD003,bootstrap_rf,2,1.0,calibration
0.4,340,55,4735,80,0.19047619047619047,0.011482254697286013,215.0,0.04126679462571977,FD003,bootstrap_rf,2,1.0,calibration
0.45,342,58,4732,78,0.18571428571428572,0.012108559498956159,214.0,0.04107485604606526,FD003,bootstrap_rf,2,1.0,calibration
0.5,344,61,4729,76,0.18095238095238095,0.012734864300626305,213.0,0.04088291746641075,FD003,bootstrap_rf,2,1.0,calibration
0.55,344,64,4726,76,0.18095238095238095,0.013361169102296452,216.0,0.04145873320537428,FD003,bootstrap_rf,2,1.0,calibration
0.6,345,67,4723,75,0.17857142857142858,0.013987473903966596,217.0,0.04165067178502879,FD003,bootstrap_rf,2,1.0,calibration
0.65,346,71,4719,74,0.1761904761904762,0.014822546972860125,219.0,0.042034548944337814,FD003,bootstrap_rf,2,1.0,calibration
0.7,348,75,4715,72,0.17142857142857143,0.015657620041753653,219.0,0.042034548944337814,FD003,bootstrap_rf,2,1.0,calibration
0.75,349,78,4712,71,0.16904761904761906,0.0162839248434238,220.0,0.04222648752399232,FD003,bootstrap_rf,2,1.0,calibration
0.8,350,80,4710,70,0.16666666666666666,0.016701461377870562,220.0,0.04222648752399232,FD003,bootstrap_rf,2,1.0,calibration
0.85,350,81,4709,70,0.16666666666666666,0.016910229645093946,221.0,0.042418426103646836,FD003,bootstrap_rf,2,1.0,calibration
0.9,351,82,4708,69,0.16428571428571428,0.017118997912317326,220.0,0.04222648752399232,FD003,bootstrap_rf,2,1.0,calibration
0.95,352,82,4708,68,0.1619047619047619,0.017118997912317326,218.0,0.0418426103646833,FD003,bootstrap_rf,2,1.0,calibration
1.0,354,84,4706,66,0.15714285714285714,0.01753653444676409,216.0,0.04145873320537428,FD003,bootstrap_rf,2,1.0,calibration
1.05,354,87,4703,66,0.15714285714285714,0.01816283924843424,219.0,0.042034548944337814,FD003,bootstrap_rf,2,1.0,calibration
1.1,354,89,4701,66,0.15714285714285714,0.018580375782881003,221.0,0.042418426103646836,FD003,bootstrap_rf,2,1.0,calibration
1.15,355,93,4697,65,0.15476190476190477,0.01941544885177453,223.0,0.04280230326295585,FD003,bootstrap_rf,2,1.0,calibration
1.2,355,94,4696,65,0.15476190476190477,0.01962421711899791,224.0,0.042994241842610366,FD003,bootstrap_rf,2,1.0,calibration
1.25,357,98,4692,63,0.15,0.02045929018789144,224.0,0.042994241842610366,FD003,bootstrap_rf,2,1.0,calibration
1.3,358,100,4690,62,0.14761904761904762,0.020876826722338204,224.0,0.042994241842610366,FD003,bootstrap_rf,2,1.0,calibration
1.35,358,104,4686,62,0.14761904761904762,0.021711899791231733,228.0,0.04376199616122841,FD003,bootstrap_rf,2,1.0,calibration
1.4,358,108,4682,62,0.14761904761904762,0.02254697286012526,232.0,0.04452975047984645,FD003,bootstrap_rf,2,1.0,calibration
1.45,359,109,4681,61,0.14523809523809525,0.02275574112734864,231.0,0.04433781190019194,FD003,bootstrap_rf,2,1.0,calibration
1.5,360,116,4674,60,0.14285714285714285,0.024217118997912318,236.0,0.04529750479846449,FD003,bootstrap_rf,2,1.0,calibration
1.55,362,121,4669,58,0.1380952380952381,0.025260960334029227,237.0,0.045489443378119,FD003,bootstrap_rf,2,1.0,calibration
1.6,362,123,4667,58,0.1380952380952381,0.02567849686847599,239.0,0.04587332053742802,FD003,bootstrap_rf,2,1.0,calibration
1.65,364,123,4667,56,0.13333333333333333,0.02567849686847599,235.0,0.045105566218809984,FD003,bootstrap_rf,2,1.0,calibration
1.7,365,124,4666,55,0.13095238095238096,0.025887265135699375,234.0,0.04491362763915547,FD003,bootstrap_rf,2,1.0,calibration
1.75,368,129,4661,52,0.12380952380952381,0.026931106471816284,233.0,0.04472168905950096,FD003,bootstrap_rf,2,1.0,calibration
1.8,369,136,4654,51,0.12142857142857143,0.028392484342379957,238.0,0.04568138195777351,FD003,bootstrap_rf,2,1.0,calibration
1.85,369,139,4651,51,0.12142857142857143,0.029018789144050105,241.0,0.04625719769673704,FD003,bootstrap_rf,2,1.0,calibration
1.9,370,144,4646,50,0.11904761904761904,0.030062630480167014,244.0,0.04683301343570057,FD003,bootstrap_rf,2,1.0,calibration
1.95,371,146,4644,49,0.11666666666666667,0.030480167014613778,244.0,0.04683301343570057,FD003,bootstrap_rf,2,1.0,calibration
2.0,371,151,4639,49,0.11666666666666667,0.03152400835073069,249.0,0.04779270633397313,FD003,bootstrap_rf,2,1.0,calibration
2.05,372,151,4639,48,0.11428571428571428,0.03152400835073069,247.0,0.04740882917466411,FD003,bootstrap_rf,2,1.0,calibration
2.1,374,157,4633,46,0.10952380952380952,0.03277661795407098,249.0,0.04779270633397313,FD003,bootstrap_rf,2,1.0,calibration
2.15,375,162,4628,45,0.10714285714285714,0.03382045929018789,252.0,0.04836852207293666,FD003,bootstrap_rf,2,1.0,calibration
2.2,375,163,4627,45,0.10714285714285714,0.03402922755741127,253.0,0.04856046065259117,FD003,bootstrap_rf,2,1.0,calibration
2.25,375,171,4619,45,0.10714285714285714,0.03569937369519833,261.0,0.05009596928982726,FD003,bootstrap_rf,2,1.0,calibration
2.3,375,177,4613,45,0.10714285714285714,0.036951983298538625,267.0,0.051247600767754316,FD003,bootstrap_rf,2,1.0,calibration
2.35,375,182,4608,45,0.10714285714285714,0.037995824634655534,272.0,0.052207293666026874,FD003,bootstrap_rf,2,1.0,calibration
2.4,377,183,4607,43,0.10238095238095238,0.038204592901878914,269.0,0.05163147792706334,FD003,bootstrap_rf,2,1.0,calibration
2.45,379,188,4602,41,0.09761904761904762,0.03924843423799582,270.0,0.05182341650671785,FD003,bootstrap_rf,2,1.0,calibration
2.5,383,191,4599,37,0.0880952380952381,0.03987473903966597,265.0,0.0508637236084453,FD003,bootstrap_rf,2,1.0,calibration
2.55,384,195,4595,36,0.08571428571428572,0.0407098121085595,267.0,0.051247600767754316,FD003,bootstrap_rf,2,1.0,calibration
2.6,384,200,4590,36,0.08571428571428572,0.04175365344467641,272.0,0.052207293666026874,FD003,bootstrap_rf,2,1.0,calibration
2.65,385,209,4581,35,0.08333333333333333,0.043632567849686846,279.0,0.05355086372360845,FD003,bootstrap_rf,2,1.0,calibration
2.7,385,213,4577,35,0.08333333333333333,0.044467640918580374,283.0,0.054318618042226485,FD003,bootstrap_rf,2,1.0,calibration
2.75,386,223,4567,34,0.08095238095238096,0.0465553235908142,291.0,0.055854126679462573,FD003,bootstrap_rf,2,1.0,calibration
2.8,387,226,4564,33,0.07857142857142857,0.04718162839248434,292.0,0.05604606525911708,FD003,bootstrap_rf,2,1.0,calibration
2.85,389,235,4555,31,0.07380952380952381,0.049060542797494784,297.0,0.05700575815738963,FD003,bootstrap_rf,2,1.0,calibration
2.9,392,249,4541,28,0.06666666666666667,0.05198329853862213,305.0,0.05854126679462572,FD003,bootstrap_rf,2,1.0,calibration
2.95,394,258,4532,26,0.06190476190476191,0.05386221294363257,310.0,0.05950095969289827,FD003,bootstrap_rf,2,1.0,calibration
3.0,395,269,4521,25,0.05952380952380952,0.05615866388308977,319.0,0.06122840690978887,FD003,bootstrap_rf,2,1.0,calibration
3.05,396,284,4506,24,0.05714285714285714,0.0592901878914405,332.0,0.06372360844529751,FD003,bootstrap_rf,2,1.0,calibration
3.1,396,293,4497,24,0.05714285714285714,0.061169102296450936,341.0,0.0654510556621881,FD003,bootstrap_rf,2,1.0,calibration
3.15,398,305,4485,22,0.05238095238095238,0.06367432150313153,349.0,0.06698656429942418,FD003,bootstrap_rf,2,1.0,calibration
3.2,399,313,4477,21,0.05,0.06534446764091859,355.0,0.06813819577735125,FD003,bootstrap_rf,2,1.0,calibration
