dataset,method,coverage,mean_interval_width,median_interval_width,mean_abs_error
FD001,quantile_gbr,0.7784242424242425,48.830014934438175,49.31475529244584,16.905149642322396
FD002,quantile_gbr,0.8686541575388133,92.32645030795764,94.88151485355237,28.02702699145512
FD003,quantile_gbr,0.81067472306143,47.101830434456936,44.65495156041865,14.747085852322256
FD004,quantile_gbr,0.8538178848509596,83.59851031381497,84.4039508603114,30.347927695335056
