failure_cost,policy,fn_rate,fp_rate,cost,fn_count,fp_count
5,Point Prediction,0.1761904761904762,0.005479452054794521,0.09582309582309582,74,20
5,Uncertainty-Aware,0.0,0.13424657534246576,0.12039312039312039,0,490
10,Point Prediction,0.1761904761904762,0.005479452054794521,0.18673218673218672,74,20
10,Uncertainty-Aware,0.0,0.13424657534246576,0.12039312039312039,0,490
20,Point Prediction,0.1761904761904762,0.005479452054794521,0.36855036855036855,74,20
20,Uncertainty-Aware,0.0,0.13424657534246576,0.12039312039312039,0,490
50,Point Prediction,0.1761904761904762,0.005479452054794521,0.914004914004914,74,20
50,Uncertainty-Aware,0.0,0.13424657534246576,0.12039312039312039,0,490
100,Point Prediction,0.1761904761904762,0.005479452054794521,1.8230958230958232,74,20
100,Uncertainty-Aware,0.0,0.13424657534246576,0.12039312039312039,0,490
