k,TP_maintained_risky,FP_unnecessary_maintenance,TN_correct_no_maintenance,FN_missed_risky_cases,false_negative_rate,false_positive_rate,total_cost,average_cost_per_sample,dataset,method,cost_fn,cost_fp,split_used_for_k_selection
0.0,507,103,10795,543,0.5171428571428571,0.009451275463387778,1189.0,0.09951456310679611,FD004,bootstrap_rf,2,1.0,calibration
0.05,511,109,10789,539,0.5133333333333333,0.010001835199119104,1187.0,0.09934717107465685,FD004,bootstrap_rf,2,1.0,calibration
0.1,516,112,10786,534,0.5085714285714286,0.010277115066984768,1180.0,0.0987612989621694,FD004,bootstrap_rf,2,1.0,calibration
0.15,522,113,10785,528,0.5028571428571429,0.01036887502293999,1169.0,0.09784064278540341,FD004,bootstrap_rf,2,1.0,calibration
0.2,533,116,10782,517,0.49238095238095236,0.010644154890805653,1150.0,0.09625041848008035,FD004,bootstrap_rf,2,1.0,calibration
0.25,537,117,10781,513,0.48857142857142855,0.010735914846760874,1143.0,0.0956645463675929,FD004,bootstrap_rf,2,1.0,calibration
0.3,544,121,10777,506,0.4819047619047619,0.011102954670581758,1133.0,0.09482758620689655,FD004,bootstrap_rf,2,1.0,calibration
0.35,548,121,10777,502,0.4780952380952381,0.011102954670581758,1125.0,0.09415801807833947,FD004,bootstrap_rf,2,1.0,calibration
0.4,555,127,10771,495,0.4714285714285714,0.011653514406313084,1117.0,0.09348844994978239,FD004,bootstrap_rf,2,1.0,calibration
0.45,558,132,10766,492,0.4685714285714286,0.01211231418608919,1116.0,0.09340475393371275,FD004,bootstrap_rf,2,1.0,calibration
0.5,562,138,10760,488,0.46476190476190476,0.012662873921820517,1114.0,0.09323736190157349,FD004,bootstrap_rf,2,1.0,calibration
0.55,567,140,10758,483,0.46,0.01284639383373096,1106.0,0.09256779377301641,FD004,bootstrap_rf,2,1.0,calibration
0.6,573,143,10755,477,0.4542857142857143,0.013121673701596623,1097.0,0.0918145296283897,FD004,bootstrap_rf,2,1.0,calibration
0.65,578,144,10754,472,0.44952380952380955,0.013213433657551845,1088.0,0.09106126548376298,FD004,bootstrap_rf,2,1.0,calibration
0.7,588,151,10747,462,0.44,0.013855753349238392,1075.0,0.08997321727485771,FD004,bootstrap_rf,2,1.0,calibration
0.75,595,154,10744,455,0.43333333333333335,0.014131033217104056,1064.0,0.08905256109809173,FD004,bootstrap_rf,2,1.0,calibration
0.8,603,164,10734,447,0.4257142857142857,0.015048632776656266,1058.0,0.08855038500167392,FD004,bootstrap_rf,2,1.0,calibration
0.85,608,165,10733,442,0.42095238095238097,0.015140392732611488,1049.0,0.0877971208570472,FD004,bootstrap_rf,2,1.0,calibration
0.9,613,169,10729,437,0.41619047619047617,0.015507432556432372,1043.0,0.08729494476062939,FD004,bootstrap_rf,2,1.0,calibration
0.95,621,172,10726,429,0.4085714285714286,0.015782712424298035,1030.0,0.08620689655172414,FD004,bootstrap_rf,2,1.0,calibration
1.0,627,184,10714,423,0.40285714285714286,0.01688383189576069,1030.0,0.08620689655172414,FD004,bootstrap_rf,2,1.0,calibration
1.05,630,188,10710,420,0.4,0.017250871719581576,1028.0,0.08603950451958486,FD004,bootstrap_rf,2,1.0,calibration
1.1,635,191,10707,415,0.3952380952380952,0.017526151587447237,1021.0,0.08545363240709743,FD004,bootstrap_rf,2,1.0,calibration
1.15,643,195,10703,407,0.38761904761904764,0.017893191411268123,1009.0,0.0844492802142618,FD004,bootstrap_rf,2,1.0,calibration
1.2,650,198,10700,400,0.38095238095238093,0.018168471279133788,998.0,0.08352862403749582,FD004,bootstrap_rf,2,1.0,calibration
1.25,658,205,10693,392,0.37333333333333335,0.018810790970820335,989.0,0.0827753598928691,FD004,bootstrap_rf,2,1.0,calibration
1.3,666,211,10687,384,0.3657142857142857,0.01936135070655166,979.0,0.08193839973217275,FD004,bootstrap_rf,2,1.0,calibration
1.35,676,219,10679,374,0.35619047619047617,0.02009543035419343,967.0,0.08093404753933713,FD004,bootstrap_rf,2,1.0,calibration
1.4,676,224,10674,374,0.35619047619047617,0.020554230133969537,972.0,0.0813525276196853,FD004,bootstrap_rf,2,1.0,calibration
1.45,682,231,10667,368,0.3504761904761905,0.021196549825656084,967.0,0.08093404753933713,FD004,bootstrap_rf,2,1.0,calibration
1.5,686,235,10663,364,0.3466666666666667,0.02156358964947697,963.0,0.0805992634750586,FD004,bootstrap_rf,2,1.0,calibration
