dataset,method,cost_fn,best_k_chosen_on_calibration,point_eval_FN,uncertainty_eval_FN,fn_reduction_percent,point_eval_total_cost,uncertainty_eval_total_cost,cost_reduction_percent
FD003,bootstrap_rf,2,0.2,86.0,70.0,18.6046511627907,215.0,184.0,14.418604651162791
FD003,bootstrap_rf,5,2.55,86.0,26.0,69.76744186046511,473.0,310.0,34.46088794926004
FD003,bootstrap_rf,10,2.95,86.0,20.0,76.74418604651163,903.0,416.0,53.93133997785161
FD003,bootstrap_rf,20,3.5,86.0,13.0,84.88372093023256,1763.0,566.0,67.89563244469655
FD003,bootstrap_rf,50,3.9,86.0,12.0,86.04651162790698,4343.0,989.0,77.22772277227723
FD003,bootstrap_rf,100,4.3,86.0,7.0,91.86046511627907,8643.0,1161.0,86.56716417910448
FD004,bootstrap_rf,2,2.4,635.0,357.0,43.77952755905512,1350.0,1090.0,19.25925925925926
FD004,bootstrap_rf,5,3.65,635.0,251.0,60.47244094488189,3255.0,1926.0,40.8294930875576
FD004,bootstrap_rf,10,5.2,635.0,165.0,74.01574803149606,6430.0,2840.0,55.83203732503888
FD004,bootstrap_rf,20,5.95,635.0,134.0,78.89763779527559,12780.0,4178.0,67.30829420970267
FD004,bootstrap_rf,50,5.95,635.0,134.0,78.89763779527559,31830.0,8198.0,74.24442349984291
FD004,bootstrap_rf,100,5.95,635.0,134.0,78.89763779527559,63580.0,14898.0,76.56810317709972
FD001,quantile_gbr,2,0.05,61.0,59.0,3.278688524590164,173.0,171.0,1.1560693641618498
FD001,quantile_gbr,5,0.65,61.0,22.0,63.9344262295082,356.0,243.0,31.741573033707866
FD001,quantile_gbr,10,0.7,61.0,17.0,72.1311475409836,661.0,314.0,52.496217851739786
FD001,quantile_gbr,20,0.85,61.0,11.0,81.9672131147541,1271.0,414.0,67.42722265932336
FD001,quantile_gbr,50,0.85,61.0,11.0,81.9672131147541,3101.0,744.0,76.00773943889068
FD001,quantile_gbr,100,0.85,61.0,11.0,81.9672131147541,6151.0,1294.0,78.96277028125508
FD002,quantile_gbr,2,1.0,859.0,281.0,67.28754365541327,1808.0,1182.0,34.623893805309734
FD002,quantile_gbr,5,1.05,859.0,204.0,76.25145518044238,4385.0,1834.0,58.175598631698975
FD002,quantile_gbr,10,1.15,859.0,105.0,87.77648428405122,8680.0,2411.0,72.22350230414746
FD002,quantile_gbr,20,1.25,859.0,49.0,94.29569266589056,17270.0,3162.0,81.69079328314997
FD002,quantile_gbr,50,1.3,859.0,32.0,96.27473806752036,43040.0,4412.0,89.74907063197026
FD002,quantile_gbr,100,1.4,859.0,15.0,98.25378346915018,85990.0,5893.0,93.14687754390046
FD003,quantile_gbr,2,0.15,85.0,70.0,17.647058823529413,232.0,208.0,10.344827586206897
FD003,quantile_gbr,5,1.0,85.0,20.0,76.47058823529412,487.0,278.0,42.91581108829569
FD003,quantile_gbr,10,1.25,85.0,14.0,83.52941176470588,912.0,355.0,61.07456140350877
FD003,quantile_gbr,20,1.25,85.0,14.0,83.52941176470588,1762.0,495.0,71.90692395005675
FD003,quantile_gbr,50,1.6,85.0,7.0,91.76470588235294,4312.0,763.0,82.3051948051948
FD003,quantile_gbr,100,1.6,85.0,7.0,91.76470588235294,8562.0,1113.0,87.00070077084793
FD004,quantile_gbr,2,1.0,844.0,417.0,50.59241706161137,1754.0,1272.0,27.480045610034207
FD004,quantile_gbr,5,1.1,844.0,272.0,67.77251184834124,4286.0,2128.0,50.34997666822212
FD004,quantile_gbr,10,1.2,844.0,173.0,79.50236966824644,8506.0,3019.0,64.50740653656243
FD004,quantile_gbr,20,1.25,844.0,116.0,86.25592417061611,16946.0,4020.0,76.27758763129943
FD004,quantile_gbr,50,1.3,844.0,62.0,92.65402843601896,42266.0,5672.0,86.58022997208158
FD004,quantile_gbr,100,1.45,844.0,24.0,97.1563981042654,84466.0,7128.0,91.5611015082992
